title,text,label,language
अलौकिक जीव की खोज की गई,नेताओं के विरुद्ध भ्रष्टाचार के गंभीर आरोप लगे हैं। अरबों रुपये की अवैध लेनदेन की जानकारी मिली है। मीडिया इसे दबा रहा है।,0,hi
5जी टॉवर बीमारियां फैला रहे हैं,नेताओं के विरुद्ध भ्रष्टाचार के गंभीर आरोप लगे हैं। अरबों रुपये की अवैध लेनदेन की जानकारी मिली है। मीडिया इसे दबा रहा है।,0,hi
आईआईटी दिल्ली के शोधकर्ताओं ने नया अविष्कार किया,"सरकार ने आज एक महत्वपूर्ण सौर ऊर्जा पहल की घोषणा की। इस योजना का लक्ष्य 15 राज्यों में सौर शक्ति उत्पन्न करना है। अधिकारियों के अनुसार, इस परियोजना को ₹50,000 करोड़ का बजट मिलेगा।",1,hi
विदेशी देश भारत को कमजोर करने की साजिश कर रहे हैं,नेताओं के विरुद्ध भ्रष्टाचार के गंभीर आरोप लगे हैं। अरबों रुपये की अवैध लेनदेन की जानकारी मिली है। मीडिया इसे दबा रहा है।,0,hi
सरकार टीकों में माइक्रोचिप्स डाल रही है,नासा ने हिमालय में अलौकिक जीवों की पुष्टि की है। इन प्राणियों के पास अत्याधुनिक तकनीक है। सरकार इस बात को छुपा रही है।,0,hi
सरकार ने सौर ऊर्जा योजना की घोषणा की,"सरकार ने आज एक महत्वपूर्ण सौर ऊर्जा पहल की घोषणा की। इस योजना का लक्ष्य 15 राज्यों में सौर शक्ति उत्पन्न करना है। अधिकारियों के अनुसार, इस परियोजना को ₹50,000 करोड़ का बजट मिलेगा।",1,hi
सुप्रीम कोर्ट ने बाढ़ राहत के लिए आदेश दिया,आईआईटी दिल्ली के शोधकर्ताओं ने एक महत्वपूर्ण वैज्ञानिक खोज की है। यह नई तकनीक पर्यावरण के लिए फायदेमंद है। शोध दल को अंतर्राष्ट्रीय मान्यता मिली है।,1,hi
आरबीआई ने ब्याज दर में कटौती की,"सरकार ने आज एक महत्वपूर्ण सौर ऊर्जा पहल की घोषणा की। इस योजना का लक्ष्य 15 राज्यों में सौर शक्ति उत्पन्न करना है। अधिकारियों के अनुसार, इस परियोजना को ₹50,000 करोड़ का बजट मिलेगा।",1,hi
भारतीय रेलवे नई ट्रेन लॉन्च करेगी,"सरकार ने आज एक महत्वपूर्ण सौर ऊर्जा पहल की घोषणा की। इस योजना का लक्ष्य 15 राज्यों में सौर शक्ति उत्पन्न करना है। अधिकारियों के अनुसार, इस परियोजना को ₹50,000 करोड़ का बजट मिलेगा।",1,hi
नेताओं पर भ्रष्टाचार के आरोप,नासा ने हिमालय में अलौकिक जीवों की पुष्टि की है। इन प्राणियों के पास अत्याधुनिक तकनीक है। सरकार इस बात को छुपा रही है।,0,hi
