title,text,label,language
5जी टॉवर बीमारियां फैला रहे हैं,हमारे सूत्रों के अनुसार सरकार टीकों में माइक्रोचिप्स छुपा रही है। यह माइक्रोचिप्स लोगों की निगरानी के लिए है। हजारों लोगों को इसके दुष्प्रभाव दिख रहे हैं।,0,hi
નવી તકનીક જાદુ કરે છે,ગુજરાતમાં લોકોમાં ગુપ્ત રોગ ફેલાવાય છે. સરકાર આને છુપાવી રહી છે.,0,gu
લોકોમાં ગુપ્ત રોગ ફેલાવાય છે,મહાનેતાઓ વિશ્વના નેતાઓ સાથે ગુપ્ત બેઠક કરી રહ્યા છે.,0,gu
આઇઆઈટી દિલ્હીના સંશોધકોને પુરસ્કાર મળ્યો,આઇઆઈટી દિલ્હીના વૈજ્ઞાનિકોને તેમના સંશોધન માટે આંતરરાષ્ટ્રીય પુરસ્કાર પ્રાપ્ત થયો.,1,gu
सरकार टीकों में माइक्रोचिप्स डाल रही है,नेताओं के विरुद्ध भ्रष्टाचार के गंभीर आरोप लगे हैं। अरबों रुपये की अवैध लेनदेन की जानकारी मिली है। मीडिया इसे दबा रहा है।,0,hi
भारतीय रेलवे नई ट्रेन लॉन्च करेगी,आईआईटी दिल्ली के शोधकर्ताओं ने एक महत्वपूर्ण वैज्ञानिक खोज की है। यह नई तकनीक पर्यावरण के लिए फायदेमंद है। शोध दल को अंतर्राष्ट्रीय मान्यता मिली है।,1,hi
મહાનેતાઓ ગુપ્ત બેઠક કરી રહ્યા છે,મહાનેતાઓ વિશ્વના નેતાઓ સાથે ગુપ્ત બેઠક કરી રહ્યા છે.,0,gu
आईआईटी दिल्ली के शोधकर्ताओं ने नया अविष्कार किया,"सरकार ने आज एक महत्वपूर्ण सौर ऊर्जा पहल की घोषणा की। इस योजना का लक्ष्य 15 राज्यों में सौर शक्ति उत्पन्न करना है। अधिकारियों के अनुसार, इस परियोजना को ₹50,000 करोड़ का बजट मिलेगा।",1,hi
आरबीआई ने ब्याज दर में कटौती की,आरबीआई ने अर्थव्यवस्था को मजबूत करने के लिए ब्याज दर में कमी की है। यह निर्णय आर्थिक विकास को बढ़ावा देगा। बैंकिंग क्षेत्र इस फैसले की सराहना कर रहा है।,1,hi
अलौकिक जीव की खोज की गई,नेताओं के विरुद्ध भ्रष्टाचार के गंभीर आरोप लगे हैं। अरबों रुपये की अवैध लेनदेन की जानकारी मिली है। मीडिया इसे दबा रहा है।,0,hi
सरकार ने सौर ऊर्जा योजना की घोषणा की,आरबीआई ने अर्थव्यवस्था को मजबूत करने के लिए ब्याज दर में कमी की है। यह निर्णय आर्थिक विकास को बढ़ावा देगा। बैंकिंग क्षेत्र इस फैसले की सराहना कर रहा है।,1,hi
नेताओं पर भ्रष्टाचार के आरोप,नासा ने हिमालय में अलौकिक जीवों की पुष्टि की है। इन प्राणियों के पास अत्याधुनिक तकनीक है। सरकार इस बात को छुपा रही है।,0,hi
સરકારે નવી શક્તિ યોજના જાહેર કરી,આઇઆઈટી દિલ્હીના વૈજ્ઞાનિકોને તેમના સંશોધન માટે આંતરરાષ્ટ્રીય પુરસ્કાર પ્રાપ્ત થયો.,1,gu
विदेशी देश भारत को कमजोर करने की साजिश कर रहे हैं,नेताओं के विरुद्ध भ्रष्टाचार के गंभीर आरोप लगे हैं। अरबों रुपये की अवैध लेनदेन की जानकारी मिली है। मीडिया इसे दबा रहा है।,0,hi
सुप्रीम कोर्ट ने बाढ़ राहत के लिए आदेश दिया,आईआईटी दिल्ली के शोधकर्ताओं ने एक महत्वपूर्ण वैज्ञानिक खोज की है। यह नई तकनीक पर्यावरण के लिए फायदेमंद है। शोध दल को अंतर्राष्ट्रीय मान्यता मिली है।,1,hi
